model,trainer,config,epsilon,valid_rate_mean,valid_rate_ci_low,valid_rate_ci_high,valid_cost_mean,valid_cost_ci_low,valid_cost_ci_high,n_rows
lin,AF,LIN-AF,0.0,1.0,1.0,1.0,0.7012748778796839,0.5062638203282346,0.9114432531913202,30
lin,AF,LIN-AF,0.1,1.0,1.0,1.0,0.823484637148043,0.6173001966002503,1.0304567232175004,30
lin,AF,LIN-AF,0.2,1.0,1.0,1.0,0.9456943964164021,0.7429863056628437,1.164581378224271,30
lin,ERM,LIN-ERM,0.0,1.0,1.0,1.0,1.0352807148190328,0.795456950585435,1.2733682008018608,30
lin,ERM,LIN-ERM,0.1,1.0,1.0,1.0,1.0044488235328917,0.7995385802997136,1.2242090803014354,30
lin,ERM,LIN-ERM,0.2,1.0,1.0,1.0,1.120386324703241,0.9017732550292862,1.360622618468996,30
mlp,AF,MLP-AF,0.0,0.9666666666666667,0.9,1.0,1.810989550732333,1.2662813833595385,2.3746311939738947,30
mlp,AF,MLP-AF,0.1,0.9666666666666667,0.9,1.0,1.9862833922279293,1.4346184365451335,2.551041286438703,30
mlp,AF,MLP-AF,0.2,0.9333333333333333,0.8333333333333334,1.0,2.0226513711469516,1.463142418967826,2.644406296079239,30
mlp,ERM,MLP-ERM,0.0,0.8666666666666667,0.7333333333333333,0.9666666666666667,1.2338093593716621,0.7145760866899595,1.8619556353451348,30
mlp,ERM,MLP-ERM,0.1,0.9,0.8,1.0,1.3640946765188817,0.8771141729972981,1.9443892575088468,30
mlp,ERM,MLP-ERM,0.2,0.9,0.8,1.0,1.151049994484142,0.8237234620736629,1.5298283654885987,30
