dataset,model,trainer,seed,epsilon,instance_id,valid,cost
health,lin,AF,0,0.0,0,True,0.0022174298096731904
health,lin,AF,0,0.0,1,True,0.09351049565102389
health,lin,AF,0,0.0,2,True,0.5008139511917434
health,lin,AF,0,0.0,3,True,1.7989967006950356
health,lin,AF,0,0.0,4,True,1.4585106692345036
health,lin,AF,0,0.0,5,True,0.10900482104156642
health,lin,AF,0,0.0,6,True,0.009357979114851105
health,lin,AF,0,0.0,7,True,1.0316063447917123
health,lin,AF,0,0.0,8,True,0.2709796170170954
health,lin,AF,0,0.0,9,True,0.1764318752921754
health,lin,AF,0,0.1,0,True,0.12428426527689317
health,lin,AF,0,0.1,1,True,0.21557733111824384
health,lin,AF,0,0.1,2,True,0.6228807866589635
health,lin,AF,0,0.1,3,True,1.9210635361622554
health,lin,AF,0,0.1,4,True,1.5805775047017234
health,lin,AF,0,0.1,5,True,0.23107165650878636
health,lin,AF,0,0.1,6,True,0.1314248145820711
health,lin,AF,0,0.1,7,True,1.1536731802589322
health,lin,AF,0,0.1,8,True,0.3930464524843154
health,lin,AF,0,0.1,9,True,0.2984987107593954
health,lin,AF,0,0.2,0,True,0.24635110074411312
health,lin,AF,0,0.2,1,True,0.33764416658546387
health,lin,AF,0,0.2,2,True,0.7449476221261834
health,lin,AF,0,0.2,3,True,2.0431303716294753
health,lin,AF,0,0.2,4,True,1.7026443401689435
health,lin,AF,0,0.2,5,True,0.3531384919760064
health,lin,AF,0,0.2,6,True,0.25349165004929103
health,lin,AF,0,0.2,7,True,1.2757400157261523
health,lin,AF,0,0.2,8,True,0.5151132879515354
health,lin,AF,0,0.2,9,True,0.4205655462266154
health,lin,AF,1,0.0,0,True,1.7717210875993217
health,lin,AF,1,0.0,1,True,0.2295555744846745
health,lin,AF,1,0.0,2,True,1.4773945272283713
health,lin,AF,1,0.0,3,True,0.1807196830988592
health,lin,AF,1,0.0,4,True,0.6221210264548876
health,lin,AF,1,0.0,5,True,0.029517278656927354
health,lin,AF,1,0.0,6,True,1.1691237612686767
health,lin,AF,1,0.0,7,True,0.5842132876148337
health,lin,AF,1,0.0,8,True,1.675105213965182
health,lin,AF,1,0.0,9,True,1.0109263503131347
health,lin,AF,1,0.1,0,True,1.894747702788817
health,lin,AF,1,0.1,1,True,0.35258218967416993
health,lin,AF,1,0.1,2,True,1.6004211424178667
health,lin,AF,1,0.1,3,True,0.3037462982883546
health,lin,AF,1,0.1,4,True,0.745147641644383
health,lin,AF,1,0.1,5,True,0.15254389384642275
health,lin,AF,1,0.1,6,True,1.292150376458172
health,lin,AF,1,0.1,7,True,0.707239902804329
health,lin,AF,1,0.1,8,True,1.7981318291546775
health,lin,AF,1,0.1,9,True,1.1339529655026301
health,lin,AF,1,0.2,0,True,2.0177743179783123
health,lin,AF,1,0.2,1,True,0.4756088048636653
health,lin,AF,1,0.2,2,True,1.7234477576073621
health,lin,AF,1,0.2,3,True,0.42677291347785
health,lin,AF,1,0.2,4,True,0.8681742568338784
health,lin,AF,1,0.2,5,True,0.2755705090359181
health,lin,AF,1,0.2,6,True,1.4151769916476673
health,lin,AF,1,0.2,7,True,0.8302665179938244
health,lin,AF,1,0.2,8,True,1.921158444344173
health,lin,AF,1,0.2,9,True,1.2569795806921256
health,lin,AF,2,0.0,0,True,1.0038187517373052
health,lin,AF,2,0.0,1,True,0.2500396675414716
health,lin,AF,2,0.0,2,True,1.0737270578129243
health,lin,AF,2,0.0,3,True,0.05366143618733343
health,lin,AF,2,0.0,4,True,0.5569176650641724
health,lin,AF,2,0.0,5,True,1.4532231383932026
health,lin,AF,2,0.0,6,True,0.5802347338089318
health,lin,AF,2,0.0,7,True,0.21861433039940883
health,lin,AF,2,0.0,8,True,1.1627527244805589
health,lin,AF,2,0.0,9,True,0.483429156440958
health,lin,AF,2,0.1,0,True,1.125354578885667
health,lin,AF,2,0.1,1,True,0.3715754946898336
health,lin,AF,2,0.1,2,True,1.1952628849612863
health,lin,AF,2,0.1,3,True,0.17519726333569535
health,lin,AF,2,0.1,4,True,0.6784534922125343
health,lin,AF,2,0.1,5,True,1.5747589655415644
health,lin,AF,2,0.1,6,True,0.7017705609572937
health,lin,AF,2,0.1,7,True,0.3401501575477708
health,lin,AF,2,0.1,8,True,1.2842885516289209
health,lin,AF,2,0.1,9,True,0.6049649835893199
health,lin,AF,2,0.2,0,True,1.246890406034029
health,lin,AF,2,0.2,1,True,0.4931113218381955
health,lin,AF,2,0.2,2,True,1.3167987121096483
health,lin,AF,2,0.2,3,True,0.2967330904840573
health,lin,AF,2,0.2,4,True,0.7999893193608962
health,lin,AF,2,0.2,5,True,1.6962947926899266
health,lin,AF,2,0.2,6,True,0.8233063881056557
health,lin,AF,2,0.2,7,True,0.4616859846961327
health,lin,AF,2,0.2,8,True,1.4058243787772824
health,lin,AF,2,0.2,9,True,0.7265008107376818
health,mlp,AF,0,0.0,0,True,2.675544261932373
health,mlp,AF,0,0.0,1,True,2.4312634468078613
health,mlp,AF,0,0.0,2,True,2.3325533866882324
health,mlp,AF,0,0.0,3,True,0.5953392386436462
health,mlp,AF,0,0.0,4,True,0.09999999403953552
health,mlp,AF,0,0.0,5,True,1.8651421070098877
health,mlp,AF,0,0.0,6,True,0.10000000149011612
health,mlp,AF,0,0.0,7,True,1.220560908317566
health,mlp,AF,0,0.0,8,False,inf
health,mlp,AF,0,0.0,9,True,0.19684064388275146
health,mlp,AF,0,0.1,0,True,2.7411983013153076
health,mlp,AF,0,0.1,1,True,2.6286020278930664
health,mlp,AF,0,0.1,2,True,2.5649328231811523
health,mlp,AF,0,0.1,3,True,1.3312733173370361
health,mlp,AF,0,0.1,4,True,0.1998090147972107
health,mlp,AF,0,0.1,5,True,1.8813002109527588
health,mlp,AF,0,0.1,6,True,0.1784929484128952
health,mlp,AF,0,0.1,7,True,1.9187548160552979
health,mlp,AF,0,0.1,8,False,inf
health,mlp,AF,0,0.1,9,True,0.24932631850242615
health,mlp,AF,0,0.2,0,True,2.744765281677246
health,mlp,AF,0,0.2,1,True,2.540329933166504
health,mlp,AF,0,0.2,2,True,2.1792831420898438
health,mlp,AF,0,0.2,3,True,1.9039430618286133
health,mlp,AF,0,0.2,4,True,0.28769415616989136
health,mlp,AF,0,0.2,5,True,1.7928175926208496
health,mlp,AF,0,0.2,6,True,0.27897143363952637
health,mlp,AF,0,0.2,7,False,inf
health,mlp,AF,0,0.2,8,False,inf
health,mlp,AF,0,0.2,9,True,0.23669147491455078
health,mlp,AF,1,0.0,0,True,0.8286165595054626
health,mlp,AF,1,0.0,1,True,1.071250319480896
health,mlp,AF,1,0.0,2,True,0.6133818626403809
health,mlp,AF,1,0.0,3,True,0.09999999403953552
health,mlp,AF,1,0.0,4,True,0.38270947337150574
health,mlp,AF,1,0.0,5,True,0.9619376063346863
health,mlp,AF,1,0.0,6,True,2.3279929161071777
health,mlp,AF,1,0.0,7,True,0.7694158554077148
health,mlp,AF,1,0.0,8,True,0.7187708616256714
health,mlp,AF,1,0.0,9,True,0.6485913991928101
health,mlp,AF,1,0.1,0,True,0.977965235710144
health,mlp,AF,1,0.1,1,True,0.9960500597953796
health,mlp,AF,1,0.1,2,True,0.7119928598403931
health,mlp,AF,1,0.1,3,True,0.1821739375591278
health,mlp,AF,1,0.1,4,True,0.49758991599082947
health,mlp,AF,1,0.1,5,True,1.1838374137878418
health,mlp,AF,1,0.1,6,True,2.5676591396331787
health,mlp,AF,1,0.1,7,True,0.8329548835754395
health,mlp,AF,1,0.1,8,True,0.7808516025543213
health,mlp,AF,1,0.1,9,True,0.7513484358787537
health,mlp,AF,1,0.2,0,True,1.1314444541931152
health,mlp,AF,1,0.2,1,True,1.17803955078125
health,mlp,AF,1,0.2,2,True,0.7839648127555847
health,mlp,AF,1,0.2,3,True,0.2460516095161438
health,mlp,AF,1,0.2,4,True,0.6244319081306458
health,mlp,AF,1,0.2,5,True,1.2506043910980225
health,mlp,AF,1,0.2,6,True,1.1225972175598145
health,mlp,AF,1,0.2,7,True,1.010860800743103
health,mlp,AF,1,0.2,8,True,0.9001052379608154
health,mlp,AF,1,0.2,9,True,0.896099865436554
health,mlp,AF,2,0.0,0,True,3.503692388534546
health,mlp,AF,2,0.0,1,True,1.1493207216262817
health,mlp,AF,2,0.0,2,True,3.8964755535125732
health,mlp,AF,2,0.0,3,True,3.741835594177246
health,mlp,AF,2,0.0,4,True,3.2063651084899902
health,mlp,AF,2,0.0,5,True,2.5007309913635254
health,mlp,AF,2,0.0,6,True,5.388555526733398
health,mlp,AF,2,0.0,7,True,0.2651277780532837
health,mlp,AF,2,0.0,8,True,4.400606155395508
health,mlp,AF,2,0.0,9,True,4.526076316833496
health,mlp,AF,2,0.1,0,True,4.200447082519531
health,mlp,AF,2,0.1,1,True,1.0612828731536865
health,mlp,AF,2,0.1,2,True,4.270608425140381
health,mlp,AF,2,0.1,3,True,3.9029312133789062
health,mlp,AF,2,0.1,4,True,3.3833022117614746
health,mlp,AF,2,0.1,5,True,2.5903685092926025
health,mlp,AF,2,0.1,6,True,5.484298229217529
health,mlp,AF,2,0.1,7,True,0.32856568694114685
health,mlp,AF,2,0.1,8,True,4.6868815422058105
health,mlp,AF,2,0.1,9,True,4.517419338226318
health,mlp,AF,2,0.2,0,True,4.394152641296387
health,mlp,AF,2,0.2,1,True,1.2017030715942383
health,mlp,AF,2,0.2,2,True,4.303710460662842
health,mlp,AF,2,0.2,3,True,3.971803665161133
health,mlp,AF,2,0.2,4,True,3.635038375854492
health,mlp,AF,2,0.2,5,True,2.6649506092071533
health,mlp,AF,2,0.2,6,True,5.655788421630859
health,mlp,AF,2,0.2,7,True,0.34340187907218933
health,mlp,AF,2,0.2,8,True,4.704601287841797
health,mlp,AF,2,0.2,9,True,4.650392055511475
health,lin,ERM,0,0.0,0,True,0.24817375910864556
health,lin,ERM,0,0.0,1,True,0.25525109281411407
health,lin,ERM,0,0.0,2,True,1.1881473831940028
health,lin,ERM,0,0.0,3,True,2.3542826193516215
health,lin,ERM,0,0.0,4,True,1.2289800680688459
health,lin,ERM,0,0.0,5,True,1.339760725244602
health,lin,ERM,0,0.0,6,True,2.3099731253447677
health,lin,ERM,0,0.0,7,True,1.7316668221010194
health,lin,ERM,0,0.0,8,True,1.3908651939074284
health,lin,ERM,0,0.0,9,True,1.4392796496285514
health,lin,ERM,0,0.1,0,True,0.8009490990781871
health,lin,ERM,0,0.1,1,True,0.9652588724751465
health,lin,ERM,0,0.1,2,True,0.9107660074809173
health,lin,ERM,0,0.1,3,True,2.3406677954809383
health,lin,ERM,0,0.1,4,True,1.3595109112283565
health,lin,ERM,0,0.1,5,True,1.4940954924996346
health,lin,ERM,0,0.1,6,True,0.8588585592751913
health,lin,ERM,0,0.1,7,True,0.6920265862777982
health,lin,ERM,0,0.1,8,True,0.16530141673098547
health,lin,ERM,0,0.1,9,True,0.6362926644563799
health,lin,ERM,0,0.2,0,True,0.9149919730696522
health,lin,ERM,0,0.2,1,True,1.0793017464666117
health,lin,ERM,0,0.2,2,True,1.0248088814723824
health,lin,ERM,0,0.2,3,True,2.4547106694724032
health,lin,ERM,0,0.2,4,True,1.4735537852198217
health,lin,ERM,0,0.2,5,True,1.6081383664910998
health,lin,ERM,0,0.2,6,True,0.9729014332666565
health,lin,ERM,0,0.2,7,True,0.8060694602692634
health,lin,ERM,0,0.2,8,True,0.2793442907224506
health,lin,ERM,0,0.2,9,True,0.750335538447845
health,lin,ERM,1,0.0,0,True,0.4544031954776043
health,lin,ERM,1,0.0,1,True,1.1770760395405075
health,lin,ERM,1,0.0,2,True,1.5513781335972643
health,lin,ERM,1,0.0,3,True,1.3697575946921152
health,lin,ERM,1,0.0,4,True,1.677729323247764
health,lin,ERM,1,0.0,5,True,0.04324403365116183
health,lin,ERM,1,0.0,6,True,0.972477918539937
health,lin,ERM,1,0.0,7,True,0.21887793076712805
health,lin,ERM,1,0.0,8,True,1.2335342986448172
health,lin,ERM,1,0.0,9,True,1.026768797071618
health,lin,ERM,1,0.1,0,True,0.57113633417937
health,lin,ERM,1,0.1,1,True,1.2938091782422734
health,lin,ERM,1,0.1,2,True,1.66811127229903
health,lin,ERM,1,0.1,3,True,1.4864907333938808
health,lin,ERM,1,0.1,4,True,1.7944624619495295
health,lin,ERM,1,0.1,5,True,0.15997717235292763
health,lin,ERM,1,0.1,6,True,1.0892110572417029
health,lin,ERM,1,0.1,7,True,0.33561106946889385
health,lin,ERM,1,0.1,8,True,1.3502674373465828
health,lin,ERM,1,0.1,9,True,1.1435019357733838
health,lin,ERM,1,0.2,0,True,0.6878694728811359
health,lin,ERM,1,0.2,1,True,1.4105423169440392
health,lin,ERM,1,0.2,2,True,1.7848444110007957
health,lin,ERM,1,0.2,3,True,1.6032238720956469
health,lin,ERM,1,0.2,4,True,1.9111956006512953
health,lin,ERM,1,0.2,5,True,0.2767103110546934
health,lin,ERM,1,0.2,6,True,1.2059441959434687
health,lin,ERM,1,0.2,7,True,0.45234420817065973
health,lin,ERM,1,0.2,8,True,1.4670005760483487
health,lin,ERM,1,0.2,9,True,1.2602350744751496
health,lin,ERM,2,0.0,0,True,0.056236713989842375
health,lin,ERM,2,0.0,1,True,1.7118647040288175
health,lin,ERM,2,0.0,2,True,0.4085758944129868
health,lin,ERM,2,0.0,3,True,0.2698963714817156
health,lin,ERM,2,0.0,4,True,0.7548971117045661
health,lin,ERM,2,0.0,5,True,0.8574385415387005
health,lin,ERM,2,0.0,6,True,0.5467518897496327
health,lin,ERM,2,0.0,7,True,0.665408573976689
health,lin,ERM,2,0.0,8,True,0.2177330934524654
health,lin,ERM,2,0.0,9,True,2.3579908462420525
health,lin,ERM,2,0.1,0,True,0.17327320480765962
health,lin,ERM,2,0.1,1,True,1.8289011948466347
health,lin,ERM,2,0.1,2,True,0.5256123852308041
health,lin,ERM,2,0.1,3,True,0.38693286229953283
health,lin,ERM,2,0.1,4,True,0.8719336025223833
health,lin,ERM,2,0.1,5,True,0.9744750323565178
health,lin,ERM,2,0.1,6,True,0.6637883805674499
health,lin,ERM,2,0.1,7,True,0.7824450647945063
health,lin,ERM,2,0.1,8,True,0.33476958427028264
health,lin,ERM,2,0.1,9,True,2.4750273370598697
health,lin,ERM,2,0.2,0,True,0.2903096956254768
health,lin,ERM,2,0.2,1,True,1.945937685664452
health,lin,ERM,2,0.2,2,True,0.6426488760486213
health,lin,ERM,2,0.2,3,True,0.5039693531173501
health,lin,ERM,2,0.2,4,True,0.9889700933402005
